foto_id,album_id,imagem,data,titulo,local,tags
carnaval-2026-01,carnaval-2026,images/carnaval-2026/carnaval-2026-01.jpg,2026-02-16,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-02,carnaval-2026,images/carnaval-2026/carnaval-2026-02.jpg,2026-02-16,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-03,carnaval-2026,images/carnaval-2026/carnaval-2026-03.jpg,2026-02-16,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-04,carnaval-2026,images/carnaval-2026/carnaval-2026-04.jpg,2026-02-13,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-05,carnaval-2026,images/carnaval-2026/carnaval-2026-05.jpg,2026-02-13,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-06,carnaval-2026,images/carnaval-2026/carnaval-2026-06.jpg,2026-02-13,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-07,carnaval-2026,images/carnaval-2026/carnaval-2026-07.jpg,2026-02-13,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-08,carnaval-2026,images/carnaval-2026/carnaval-2026-08.jpg,2026-02-14,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-09,carnaval-2026,images/carnaval-2026/carnaval-2026-09.jpg,2026-02-14,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-10,carnaval-2026,images/carnaval-2026/carnaval-2026-10.jpg,2026-02-14,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-11,carnaval-2026,images/carnaval-2026/carnaval-2026-11.jpg,2026-02-14,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-12,carnaval-2026,images/carnaval-2026/carnaval-2026-12.jpg,2026-02-14,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-13,carnaval-2026,images/carnaval-2026/carnaval-2026-13.jpg,2026-02-14,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-14,carnaval-2026,images/carnaval-2026/carnaval-2026-14.jpg,2026-02-15,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-15,carnaval-2026,images/carnaval-2026/carnaval-2026-15.jpg,2026-02-16,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-16,carnaval-2026,images/carnaval-2026/carnaval-2026-16.jpg,2026-02-16,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-17,carnaval-2026,images/carnaval-2026/carnaval-2026-17.jpg,2026-02-17,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-18,carnaval-2026,images/carnaval-2026/carnaval-2026-18.jpg,2026-02-16,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-19,carnaval-2026,images/carnaval-2026/carnaval-2026-19.jpg,2026-02-17,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-20,carnaval-2026,images/carnaval-2026/carnaval-2026-20.jpg,2026-02-17,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-21,carnaval-2026,images/carnaval-2026/carnaval-2026-21.jpg,2026-02-17,Carnaval,2026,"carnaval, festa, bloco"
carnaval-2026-22,carnaval-2026,images/carnaval-2026/carnaval-2026-22.jpg,2026-02-18,Carnaval,2026,"carnaval, festa, bloco"
drone-bela-vista-01,drone-bela-vista,images/drone-bela-vista/drone-bela-vista-01.jpg,2022-04-14,Bela Vista,Bela Vista,"drone, aérea, bela vista"
drone-inatel-01,drone-inatel,images/drone-inatel/drone-inatel-01.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-02,drone-inatel,images/drone-inatel/drone-inatel-02.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-03,drone-inatel,images/drone-inatel/drone-inatel-03.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-04,drone-inatel,images/drone-inatel/drone-inatel-04.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-05,drone-inatel,images/drone-inatel/drone-inatel-05.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-06,drone-inatel,images/drone-inatel/drone-inatel-06.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-07,drone-inatel,images/drone-inatel/drone-inatel-07.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-08,drone-inatel,images/drone-inatel/drone-inatel-08.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-09,drone-inatel,images/drone-inatel/drone-inatel-09.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-inatel-10,drone-inatel,images/drone-inatel/drone-inatel-10.jpg,2025-07-04,Inatel,Inatel,"drone, aérea, inatel"
drone-pedralva-01,drone-pedralva,images/drone-pedralva/drone-pedralva-01.jpg,2023-07-11,Pedralva,Pedralva,"drone, aérea, pedralva"
drone-pedralva-02,drone-pedralva,images/drone-pedralva/drone-pedralva-02.jpg,2023-07-11,Pedralva,Pedralva,"drone, aérea, pedralva"
drone-pedralva-03,drone-pedralva,images/drone-pedralva/drone-pedralva-03.jpg,2023-07-11,Pedralva,Pedralva,"drone, aérea, pedralva"
drone-pedralva-04,drone-pedralva,images/drone-pedralva/drone-pedralva-04.jpg,2023-07-11,Pedralva,Pedralva,"drone, aérea, pedralva"
drone-santa-rita-01,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-01.jpg,2025-06-30,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-02,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-02.jpg,2025-07-04,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-03,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-03.jpg,2025-07-04,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-04,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-04.jpg,2025-07-04,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-05,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-05.jpg,2025-07-04,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-06,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-06.jpg,2025-07-04,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-07,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-07.jpg,2025-07-04,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-08,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-08.jpg,2025-07-30,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-09,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-09.jpg,2025-07-30,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-10,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-10.jpg,2025-07-30,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-11,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-11.jpg,2025-07-30,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-12,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-12.jpg,2025-07-30,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-13,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-13.jpg,2025-07-30,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-14,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-14.jpg,2025-07-30,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-15,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-15.jpg,2025-08-24,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-16,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-16.jpg,2025-08-24,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-17,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-17.jpg,2025-08-24,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-18,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-18.jpg,2025-08-24,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-19,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-19.jpg,2025-10-14,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-20,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-20.jpg,2025-12-12,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-21,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-21.jpg,2025-12-12,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-22,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-22.jpg,2025-12-12,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-23,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-23.jpg,2025-12-12,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-24,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-24.jpg,2025-12-12,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-25,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-25.jpg,2025-12-12,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-26,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-26.jpg,2025-12-12,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-27,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-27.jpg,2025-12-12,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-28,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-28.jpg,2026-03-20,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-29,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-29.jpg,2026-03-20,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-30,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-30.jpg,2026-03-20,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-31,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-31.jpg,2026-03-20,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-32,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-32.jpg,2026-03-20,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-33,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-33.jpg,2026-03-20,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-34,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-34.jpg,2026-03-20,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-35,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-35.jpg,2026-03-20,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-36,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-36.jpg,2026-03-25,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-37,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-37.jpg,2026-03-26,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
drone-santa-rita-38,drone-santa-rita,images/drone-santa-rita/drone-santa-rita-38.jpg,2026-03-26,Santa Rita do Sapucaí,Santa Rita do Sapucaí,"drone, aérea, santa rita do sapucaí"
esporte-01,sr26-esporte,images/esporte/esporte-01.jpg,2026-05-16,Esporte,Esporte,esporte
esporte-02,sr26-esporte,images/esporte/esporte-02.jpg,2026-05-16,Esporte,Esporte,esporte
esporte-03,sr26-esporte,images/esporte/esporte-03.jpg,2026-05-16,Esporte,Esporte,esporte
esporte-04,sr26-esporte,images/esporte/esporte-04.jpg,2026-05-16,Esporte,Esporte,esporte
esporte-05,sr26-esporte,images/esporte/esporte-05.jpg,2026-05-16,Esporte,Esporte,esporte
esporte-06,sr26-esporte,images/esporte/esporte-06.jpg,2026-05-16,Esporte,Esporte,esporte
esporte-07,sr26-esporte,images/esporte/esporte-07.jpg,2026-05-16,Esporte,Esporte,esporte
esporte-08,sr26-esporte,images/esporte/esporte-08.jpg,2026-05-24,Esporte,Esporte,esporte
esporte-09,sr26-esporte,images/esporte/esporte-09.jpg,2026-05-24,Esporte,Esporte,esporte
esporte-10,sr26-esporte,images/esporte/esporte-10.jpg,2026-05-24,Esporte,Esporte,esporte
esporte-11,sr26-esporte,images/esporte/esporte-11.jpg,2026-05-24,Esporte,Esporte,esporte
esporte-12,sr26-esporte,images/esporte/esporte-12.jpg,2026-05-24,Esporte,Esporte,esporte
esporte-13,sr26-esporte,images/esporte/esporte-13.jpg,2026-05-24,Esporte,Esporte,esporte
esporte-14,sr25-esporte,images/esporte/esporte-14.jpg,2025-05-17,Esporte,Esporte,esporte
esporte-15,sr25-esporte,images/esporte/esporte-15.jpg,2025-05-24,Esporte,Esporte,esporte
sr26-bandas-aleatorias-01,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-01.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-02,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-02.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-03,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-03.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-04,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-04.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-05,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-05.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-06,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-06.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-07,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-07.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-08,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-08.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-09,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-09.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-10,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-10.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-11,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-11.jpg,2026-05-20,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-12,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-12.jpg,2026-05-22,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-13,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-13.jpg,2026-05-22,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-14,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-14.jpg,2026-05-22,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-15,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-15.jpg,2026-05-22,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-16,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-16.jpg,2026-05-22,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-17,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-17.jpg,2026-05-22,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-bandas-aleatorias-18,sr26-bandas-aleatorias,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-18.jpg,2026-05-23,Bandas Aleatórias,Bandas Aleatórias,"show, banda, bandas aleatórias, baixo, festa de santa rita"
sr26-clayton-romario-01,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-01.jpg,2026-05-24,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-02,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-02.jpg,2026-05-24,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-03,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-03.jpg,2026-05-24,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-04,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-04.jpg,2026-05-24,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-05,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-05.jpg,2026-05-25,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-06,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-06.jpg,2026-05-25,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-07,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-07.jpg,2026-05-25,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-08,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-08.jpg,2026-05-25,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-09,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-09.jpg,2026-05-25,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-clayton-romario-10,sr26-clayton-romario,images/sr26-clayton-romario/sr26-clayton-romario-10.jpg,2026-05-25,Clayton e Romário,Clayton e Romário,"show, banda, clayton e romário, festa de santa rita"
sr26-djs-01,sr26-djs,images/sr26-djs/sr26-djs-01.jpg,2026-05-22,DJ's,DJ's,"show, dj, festa de santa rita"
sr26-djs-02,sr26-djs,images/sr26-djs/sr26-djs-02.jpg,2026-05-22,DJ's,DJ's,"show, dj, festa de santa rita"
sr26-djs-03,sr26-djs,images/sr26-djs/sr26-djs-03.jpg,2026-05-22,DJ's,DJ's,"show, dj, festa de santa rita"
sr26-djs-04,sr26-djs,images/sr26-djs/sr26-djs-04.jpg,2026-05-23,DJ's,DJ's,"show, dj, festa de santa rita"
sr26-djs-05,sr26-djs,images/sr26-djs/sr26-djs-05.jpg,2026-05-23,DJ's,DJ's,"show, dj, festa de santa rita"
sr26-djs-06,sr26-djs,images/sr26-djs/sr26-djs-06.jpg,2026-05-24,DJ's,DJ's,"show, dj, festa de santa rita"
sr26-djs-07,sr26-djs,images/sr26-djs/sr26-djs-07.jpg,2026-05-24,DJ's,DJ's,"show, dj, festa de santa rita"
sr26-djs-08,sr26-djs,images/sr26-djs/sr26-djs-08.jpg,2026-05-24,DJ's,DJ's,"show, dj, festa de santa rita"
